feature,coef,abs_coef
Title_Master,1.8689459255095502,1.8689459255095502
Sex_female,1.308113162817245,1.308113162817245
Title_Mr,-1.123595567769214,1.123595567769214
HasCabin_1,0.8165407789379221,0.8165407789379221
Title_Mrs,0.7844050615702065,0.7844050615702065
Pclass,-0.7506540982615575,0.7506540982615575
Title_Rare,-0.6671853886755476,0.6671853886755476
SibSp,-0.5456605436786668,0.5456605436786668
Embarked_C,0.4432595093860608,0.4432595093860608
Sex_male,-0.3978602677085091,0.3978602677085091
Age,-0.354076585018743,0.354076585018743
Embarked_Q,0.29771001919300544,0.29771001919300544
Parch,-0.2678724902430304,0.2678724902430304
Fare,0.14842223999342916,0.14842223999342916
Embarked_Missing,0.11604542273832541,0.11604542273832541
HasCabin_0,0.09371211617087156,0.09371211617087156
Embarked_S,0.05323794379139372,0.05323794379139372
Title_Miss,0.047682864473733516,0.047682864473733516
